100 4238
75 7 613
83 36 246
32 68 432
83 80 764
94 92 615
62 31 942
92 11 743
42 31 337
55 31 87
2 31 729
96 55 297
57 54 74
77 86 276
8 63 240
26 40 621
24 55 639
27 89 186
54 56 695
12 25 257
30 76 450
39 48 557
86 29 756
31 89 61
78 73 242
36 75 50
46 89 130
37 54 199
71 78 474
94 85 452
24 34 274
29 63 365
3 58 988
16 94 426
57 44 442
84 63 847
43 27 557
61 99 100
7 87 212
53 50 839
39 17 446
6 81 469
96 82 870
25 52 833
67 87 720
54 47 154
98 81 312
74 87 4
61 90 490
50 76 715
30 23 501
63 47 915
75 99 378
74 8 82
47 2 502
65 78 236
25 14 780
22 76 399
94 31 484
73 70 359
89 47 76
76 27 607
25 22 602
88 32 744
27 99 523
72 26 632
47 80 312
39 31 42
62 93 7
43 29 101
9 21 39
73 92 4
92 43 498
94 13 973
31 86 66
43 45 692
57 5 464
6 33 46
14 85 840
52 92 787
61 26 23
23 62 639
66 63 422
51 42 630
91 42 529
82 95 589
75 24 885
63 10 625
52 55 387
4 85 74
27 83 945
22 14 580
62 81 669
31 40 710
66 29 633
62 98 561
56 78 998
10 17 149
31 74 515
7 10 975
76 24 169
81 44 493
20 29 642
27 12 900
100 88 160
93 80 663
52 21 7
10 88 630
66 78 263
100 61 445
96 32 595
65 24 775
74 81 527
62 86 902
60 6 652
89 65 962
36 41 176
67 38 607
97 14 581
59 50 741
70 45 663
43 7 345
39 22 881
97 36 723
1 49 194
32 35 491
29 36 914
36 38 491
59 26 500
29 40 668
11 85 665
28 1 224
49 42 543
52 17 138
58 67 271
17 2 776
7 36 716
34 33 999
60 92 784
51 49 676
67 10 933
87 86 142
88 24 54
37 31 309
69 75 152
22 62 723
33 98 69
41 33 330
26 3 98
7 52 405
64 29 759
9 2 2
13 80 924
86 55 814
31 87 451
46 57 960
30 36 331
45 31 815
20 78 21
18 78 689
38 75 19
100 13 60
97 13 424
13 83 664
52 81 519
82 58 384
63 65 184
30 51 685
19 93 556
64 88 622
72 8 352
79 80 981
76 9 747
34 21 814
96 81 257
5 43 876
61 43 748
92 49 261
24 74 413
20 22 843
3 77 962
97 49 886
50 89 363
96 22 639
18 100 377
42 68 962
42 43 184
43 82 221
46 8 49
31 15 748
70 27 138
10 37 166
96 62 312
29 39 263
46 99 702
86 44 583
54 12 731
62 56 543
30 75 39
82 41 603
64 26 846
26 6 160
85 100 144
30 79 543
58 21 174
47 7 452
75 64 298
4 73 588
17 50 512
35 90 827
78 33 662
36 34 349
87 95 122
14 43 977
7 1 477
17 95 275
37 81 572
6 25 192
50 69 448
97 3 433
57 52 36
54 100 566
95 57 54
3 20 545
84 49 371
64 87 261
11 3 681
5 29 349
31 56 233
23 8 36
75 73 184
79 49 461
74 9 329
95 53 880
49 81 613
13 22 768
60 97 547
77 13 534
23 13 794
17 94 363
45 84 959
73 29 802
18 79 171
3 64 145
11 10 842
75 88 941
10 15 732
27 62 886
50 95 610
72 66 187
43 8 790
90 38 128
46 28 973
44 19 696
38 58 427
14 54 725
68 85 115
18 58 631
18 39 246
30 33 181
95 40 893
91 15 919
25 32 309
13 31 64
68 29 934
70 26 515
79 51 245
23 7 696
2 52 660
44 14 833
12 7 363
10 56 427
70 44 50
16 38 535
34 96 736
77 80 850
46 41 856
17 49 692
74 43 404
74 49 83
67 73 712
43 86 254
81 41 804
74 10 661
48 36 135
99 94 612
82 8 134
26 49 769
75 4 178
40 18 489
45 5 385
18 74 538
65 56 994
27 30 619
93 14 47
75 62 517
57 97 440
90 45 480
56 5 108
43 59 53
67 45 405
86 52 110
58 94 132
36 37 34
97 90 355
89 67 891
8 51 354
81 89 970
70 46 731
86 81 636
79 83 826
62 54 336
3 68 248
20 28 308
8 99 631
2 86 681
44 60 742
98 91 717
83 57 139
41 20 773
87 15 525
65 93 552
48 79 259
88 43 272
31 36 435
85 92 551
32 52 563
68 92 960
48 90 792
2 91 662
9 69 720
91 38 137
66 44 966
95 30 138
32 81 653
25 15 283
92 32 670
26 11 194
69 62 90
89 68 191
69 27 521
3 4 77
50 20 214
2 15 43
37 1 346
23 43 377
30 69 786
88 14 814
100 78 815
47 19 430
93 68 483
21 67 172
77 70 23
34 66 6
74 11 540
41 63 845
48 80 369
1 32 585
73 95 542
77 37 260
70 16 428
77 11 733
64 67 429
34 57 801
48 54 40
74 45 426
7 42 547
27 29 116
15 30 194
8 59 204
17 93 338
77 50 569
95 20 400
56 18 256
60 19 832
35 10 51
7 20 136
81 65 637
60 76 362
64 13 997
98 2 496
60 40 524
89 86 604
57 24 671
83 38 289
13 28 401
38 88 842
90 67 111
15 26 497
68 80 602
78 39 267
70 47 492
70 94 614
63 24 634
91 60 591
55 77 658
60 35 866
92 44 320
25 20 542
67 44 176
12 89 496
94 11 594
33 60 551
2 97 218
58 61 412
27 73 386
11 33 412
36 6 671
17 13 934
90 1 253
53 7 296
88 67 881
35 88 330
38 72 893
13 15 323
25 92 23
30 34 215
47 30 522
89 96 302
69 7 950
46 25 866
55 43 761
69 68 551
22 37 775
69 90 620
75 59 497
86 51 533
30 82 455
98 75 457
76 44 373
63 86 979
83 14 159
41 54 818
94 25 240
15 85 115
87 50 872
17 66 508
36 23 3
40 96 98
15 84 490
26 14 467
41 37 888
1 82 137
81 8 286
39 80 922
14 6 494
58 75 428
60 49 774
83 11 115
34 32 896
37 86 336
73 85 21
31 46 749
76 41 57
27 2 266
48 59 895
64 8 763
93 91 525
38 7 540
23 94 996
67 49 506
47 72 560
20 76 272
32 71 476
86 35 320
33 64 469
21 37 923
40 80 666
96 76 146
18 72 73
14 40 823
61 85 65
48 42 47
95 66 722
56 73 761
38 20 934
6 8 195
25 72 852
69 96 664
93 28 585
37 63 820
90 31 614
43 62 598
23 90 890
48 45 309
55 93 489
49 5 67
11 67 243
43 52 408
12 5 418
63 35 70
81 97 985
93 3 748
32 38 236
33 66 822
73 100 517
53 29 521
95 38 5
62 46 489
79 59 590
95 39 606
100 50 880
29 70 298
57 73 883
55 53 175
23 49 675
61 88 272
86 23 168
46 93 573
56 39 835
21 66 82
18 42 845
54 20 658
16 28 816
31 96 824
78 94 247
27 58 352
51 35 578
79 42 452
25 49 919
8 12 533
5 13 386
15 90 386
57 40 935
26 81 45
3 53 334
3 57 233
38 48 536
11 15 209
56 19 628
4 56 501
32 45 850
75 32 10
33 81 327
14 78 75
66 51 438
99 60 551
34 83 837
79 76 738
36 66 538
60 75 50
20 27 991
19 76 347
2 36 529
7 45 841
20 6 176
30 1 77
54 19 52
50 92 307
47 83 141
9 35 600
34 60 117
75 55 285
100 80 548
45 46 334
44 55 999
67 15 136
76 90 229
17 45 980
10 82 71
57 98 591
54 5 809
78 30 590
37 8 755
89 35 801
52 89 153
68 50 3
36 91 685
74 3 249
23 85 929
72 28 837
87 25 343
74 44 976
50 18 958
95 28 18
56 74 594
92 15 822
67 63 732
50 81 581
26 12 443
54 88 902
72 35 977
1 83 135
28 78 548
64 86 138
74 34 510
72 10 661
45 56 429
88 12 140
19 8 438
17 28 832
47 14 927
90 3 231
94 49 319
12 96 30
29 51 696
46 39 993
77 5 457
22 78 63
9 12 251
40 59 323
51 99 391
1 23 26
10 42 601
45 58 775
75 10 467
13 68 79
78 52 778
51 93 819
92 89 681
44 10 571
89 40 718
96 18 335
86 36 335
15 94 930
68 97 897
45 97 36
58 9 752
65 14 26
80 62 282
49 88 121
97 46 694
97 66 28
65 18 155
3 47 923
74 99 276
6 100 641
63 31 653
74 83 883
46 13 552
16 7 845
26 65 899
46 50 207
95 7 57
19 96 710
12 34 579
11 55 451
70 48 649
4 41 580
23 14 749
73 14 650
68 91 185
52 40 947
11 72 224
40 51 433
21 96 245
75 96 194
8 65 613
17 88 841
39 72 559
31 69 794
82 88 376
11 66 484
74 93 63
10 43 132
73 30 220
15 16 104
14 34 371
29 95 170
39 36 289
27 88 326
31 64 129
11 13 706
62 42 99
1 29 647
75 94 458
23 28 218
90 63 121
46 12 5
87 79 945
33 56 24
15 62 85
37 61 570
35 12 942
42 90 582
64 73 768
10 85 540
100 92 987
37 76 278
41 45 588
85 5 988
17 62 937
4 78 178
87 3 265
32 77 327
23 95 186
63 21 243
48 68 85
82 78 616
35 82 227
87 88 615
40 79 148
15 83 736
97 10 62
30 91 486
10 14 327
85 89 520
52 75 754
76 43 406
61 30 825
99 45 896
65 13 156
51 6 938
2 96 687
77 12 981
51 89 524
29 88 744
4 30 399
17 44 458
65 17 992
81 94 890
49 2 347
91 99 638
76 94 793
53 74 592
64 97 997
32 58 50
63 12 309
88 22 19
32 62 783
94 87 792
47 44 644
86 1 577
91 40 261
80 30 700
91 17 205
60 87 302
77 8 905
100 68 673
76 2 45
1 89 106
84 33 463
43 99 882
64 94 740
29 84 416
34 88 713
32 98 696
22 8 919
70 17 685
24 10 981
33 79 381
96 72 746
99 16 771
8 96 550
3 67 936
59 1 55
95 42 245
97 99 182
41 73 584
29 48 292
19 36 844
73 97 668
23 4 556
5 40 565
25 80 336
70 96 167
73 37 441
85 82 272
15 44 465
16 4 647
12 47 332
19 26 798
96 24 329
14 39 971
67 16 411
62 6 244
69 20 525
42 29 987
87 82 473
3 33 599
80 61 157
34 61 478
83 96 141
90 4 337
57 4 217
55 48 743
57 79 157
17 27 170
56 95 875
52 47 482
80 16 347
24 58 307
35 68 8
39 8 798
77 26 121
4 83 722
26 69 766
89 7 536
16 63 534
69 84 745
97 96 574
58 52 207
73 28 208
34 68 832
51 27 33
42 19 391
89 13 640
93 75 346
93 52 103
68 17 231
3 8 826
13 51 760
53 22 974
78 40 624
23 45 152
18 27 219
65 41 312
41 87 583
32 55 458
83 29 127
31 1 500
78 93 537
9 16 484
42 38 968
66 20 518
3 95 117
52 62 15
92 39 20
23 26 301
58 40 719
25 81 989
70 68 928
86 47 567
39 34 714
1 36 697
92 47 816
79 82 243
73 72 543
60 51 510
22 15 286
29 47 353
82 91 546
7 83 690
100 70 937
63 2 849
60 2 910
29 32 464
19 9 257
10 20 539
17 1 898
85 62 70
84 99 756
54 43 488
83 2 694
47 99 977
61 89 70
97 33 987
43 17 260
13 39 751
32 17 266
67 31 883
52 63 195
32 3 197
93 18 951
33 96 896
1 53 195
60 4 954
66 4 823
54 80 109
62 40 479
1 58 90
24 67 315
59 15 953
16 23 62
73 96 69
83 75 468
17 19 466
43 68 675
8 98 307
85 98 422
26 25 652
58 96 616
12 57 748
49 40 371
28 83 50
90 18 576
6 90 780
93 50 25
29 11 249
15 46 184
1 26 510
95 92 703
72 49 797
55 34 354
60 96 138
49 36 425
18 14 623
86 26 870
76 14 879
51 69 504
16 46 863
66 81 930
72 83 303
51 90 868
2 69 641
36 70 866
51 92 798
23 33 60
76 4 369
54 2 254
57 59 808
3 15 449
33 28 275
27 31 297
30 42 780
24 48 564
61 92 176
16 57 74
86 50 746
72 5 489
67 23 906
24 26 401
49 4 447
43 65 535
76 86 717
66 18 210
36 52 628
35 93 933
72 13 681
57 53 582
51 91 578
57 19 940
26 45 80
1 8 352
59 2 427
77 61 789
10 21 984
82 34 934
16 8 19
42 15 795
100 14 584
86 13 616
35 97 882
47 33 659
94 90 821
40 45 929
85 66 660
1 12 567
66 55 602
49 100 957
80 10 299
46 33 67
41 9 911
72 46 164
41 13 389
42 86 764
36 9 748
68 65 550
100 19 35
38 50 325
50 96 316
38 14 932
50 48 448
41 62 710
51 68 959
40 2 723
77 39 351
79 32 1
85 78 231
21 49 833
84 44 890
46 96 148
75 46 612
20 73 199
11 99 408
32 28 528
10 69 326
84 19 378
32 46 833
22 19 228
91 32 310
77 100 28
13 32 778
26 4 934
28 35 138
43 51 960
29 60 526
21 31 317
33 19 211
9 17 898
96 49 303
59 82 59
9 67 440
9 30 544
27 3 892
90 93 942
2 16 794
79 66 407
96 84 50
53 10 462
66 23 106
21 51 547
33 21 1
41 32 842
99 95 668
12 13 309
76 66 7
86 100 438
49 37 723
32 56 7
28 36 964
15 88 909
6 76 254
61 11 757
82 42 815
49 83 290
80 94 501
35 81 472
56 11 912
83 89 536
57 28 173
35 46 771
40 33 809
42 78 591
67 80 622
40 77 963
19 69 606
30 26 752
59 63 215
54 59 251
45 69 666
56 41 982
2 90 176
50 65 760
17 100 2
30 58 840
24 3 581
98 40 259
85 69 412
4 94 201
77 59 3
46 40 382
25 40 624
29 21 871
37 60 875
90 33 338
100 84 681
73 34 73
11 24 663
33 72 197
44 28 382
41 90 786
2 46 589
88 91 251
48 97 121
48 12 747
4 48 858
76 7 365
34 70 344
4 14 549
72 48 246
10 29 538
96 53 492
52 11 841
79 99 34
42 97 752
16 36 724
65 55 134
83 43 133
78 34 352
90 30 618
98 79 482
28 31 131
99 59 685
37 2 85
99 48 286
17 24 413
33 29 527
54 83 459
81 56 431
46 7 140
17 74 215
33 69 939
70 20 113
65 15 232
84 59 956
57 92 392
43 77 969
74 96 266
19 41 203
88 28 862
36 61 860
47 37 941
79 28 931
63 38 94
63 4 899
62 79 977
29 80 927
33 95 596
16 74 504
14 75 120
53 39 25
81 22 143
81 43 657
57 61 413
60 64 612
83 5 273
57 39 208
35 52 3
20 13 646
52 23 638
80 55 154
27 93 211
60 100 255
34 95 351
8 44 721
34 7 302
24 8 917
97 5 420
56 16 627
61 14 973
40 15 845
34 25 275
70 62 225
2 75 302
48 53 197
66 27 669
15 49 761
58 13 829
78 60 527
24 22 956
96 77 382
26 38 280
75 29 736
67 57 377
13 27 101
69 22 689
13 69 599
12 60 711
46 92 421
27 1 135
56 2 272
12 37 10
91 67 175
17 76 46
97 40 894
22 95 21
75 89 577
31 50 103
21 75 721
3 99 712
83 99 482
55 82 36
75 87 322
48 16 360
60 7 868
76 57 744
45 94 199
30 97 640
96 1 562
26 99 165
16 40 111
80 15 440
73 91 647
68 23 8
81 13 130
84 81 339
97 59 956
76 46 158
24 35 954
97 39 731
97 20 708
45 85 995
38 70 949
88 23 38
8 47 875
82 2 114
95 51 77
58 69 144
99 63 231
82 39 22
16 31 230
89 28 464
91 83 963
69 11 522
45 87 743
32 14 116
48 98 316
84 76 118
56 51 380
58 99 437
100 69 855
41 96 433
31 83 165
90 14 330
57 56 478
77 47 265
99 37 194
29 17 510
69 3 915
54 64 999
5 64 480
17 56 953
48 100 251
76 89 34
14 27 556
15 79 352
59 70 663
84 18 884
36 33 532
46 68 169
92 80 333
41 86 461
78 69 424
86 34 778
27 33 786
15 39 785
77 46 261
66 92 100
32 85 427
72 41 112
8 21 764
6 34 549
44 46 759
65 79 202
37 56 408
98 20 951
22 52 307
16 44 245
9 37 551
43 97 379
78 76 217
70 15 63
79 26 594
44 36 339
34 44 967
84 24 5
44 1 798
86 88 326
23 42 110
42 8 790
64 90 903
32 97 780
9 77 95
60 10 387
30 14 54
70 69 716
91 78 876
38 30 953
47 81 536
92 3 32
3 62 985
98 80 737
51 78 373
65 59 801
57 23 819
18 30 710
97 88 515
44 52 282
90 54 538
48 65 815
11 84 515
59 21 854
42 20 958
8 18 42
9 97 31
56 42 5
43 90 547
73 8 295
33 18 405
17 41 907
93 32 452
43 26 920
68 20 516
67 34 784
31 18 232
60 69 290
69 35 641
55 90 598
47 15 319
86 18 840
24 37 964
77 95 416
4 84 152
20 92 189
1 92 272
36 56 135
67 55 863
48 41 927
53 70 256
31 33 313
5 94 407
100 52 644
13 62 444
70 97 774
5 55 923
5 10 917
17 92 458
82 56 608
75 68 58
61 31 103
83 51 209
30 12 572
12 62 778
65 9 738
86 60 305
97 29 427
48 2 960
45 52 165
58 78 15
36 47 362
97 12 187
25 39 656
64 98 115
91 28 451
92 56 521
75 28 748
20 74 946
16 98 874
84 1 792
25 33 637
58 23 583
29 37 819
95 8 312
90 74 974
47 97 436
99 90 632
17 69 383
72 88 899
79 31 255
16 24 143
59 13 276
16 91 74
31 4 357
20 14 511
29 92 381
72 3 957
62 58 118
75 84 787
8 7 806
24 5 518
29 25 794
9 83 196
88 41 244
51 84 876
17 73 266
4 9 77
11 4 56
99 25 237
67 85 305
30 74 367
11 7 212
63 1 269
44 45 73
24 39 247
95 12 112
46 90 608
100 8 926
33 9 638
25 68 762
95 90 690
58 39 760
68 82 924
82 64 14
59 100 747
78 81 183
34 85 935
58 46 146
28 3 847
71 93 871
89 79 839
36 40 301
100 45 62
52 42 280
55 61 899
64 11 534
30 25 363
35 91 522
42 81 649
81 61 427
4 72 500
52 13 573
57 91 185
33 75 487
96 37 966
95 89 78
22 32 878
75 79 557
66 93 491
9 24 400
26 44 219
65 23 991
28 54 624
80 59 559
49 77 611
27 9 517
89 88 588
86 99 678
15 72 823
88 95 716
7 86 122
46 4 765
16 45 245
85 13 497
11 19 632
1 91 907
41 59 589
84 89 973
58 66 454
82 84 326
2 55 534
13 54 282
75 50 16
81 64 766
40 73 107
7 96 297
56 61 912
19 91 750
99 77 333
52 90 177
85 77 712
70 85 753
25 24 541
39 2 967
8 55 524
90 22 440
56 28 177
33 13 965
39 94 327
95 31 459
48 19 766
61 63 782
34 18 978
21 42 553
36 68 943
1 39 897
83 41 796
45 88 671
52 38 742
59 27 260
11 31 312
66 26 638
84 27 580
15 54 1000
77 89 443
18 29 272
12 36 828
44 75 125
68 79 242
57 68 611
26 68 929
66 89 749
24 68 770
64 92 402
92 77 307
100 23 289
34 38 540
29 82 158
84 32 31
1 2 317
60 41 435
64 62 361
76 73 432
20 89 985
78 16 283
43 37 927
94 51 358
97 26 837
43 56 828
28 38 653
34 45 792
72 59 271
4 64 477
95 93 871
69 98 503
51 77 698
3 31 41
36 64 649
87 83 644
67 65 913
27 34 599
32 65 867
63 94 899
84 95 762
3 71 801
96 36 217
56 91 561
21 78 220
11 30 427
65 11 724
80 7 859
47 18 614
89 39 517
50 85 26
89 14 293
46 67 750
31 59 515
39 100 176
66 54 971
7 26 96
31 35 494
24 32 166
86 22 533
32 7 293
13 91 317
85 29 997
57 55 69
10 41 815
75 70 615
57 72 852
7 85 611
29 59 956
86 8 709
90 59 984
93 29 538
49 63 200
79 97 507
81 28 898
22 72 705
94 60 966
82 86 865
91 66 38
93 13 218
28 43 432
85 48 64
58 7 718
88 74 897
55 63 976
51 9 956
93 11 192
50 44 138
12 81 373
36 99 775
79 21 459
86 94 551
76 38 106
97 56 426
22 26 512
40 3 714
25 100 431
29 55 756
36 32 372
67 54 209
46 18 771
28 86 979
83 24 12
30 99 154
33 14 571
31 93 643
80 24 648
57 84 420
59 20 454
45 96 220
40 55 997
90 81 510
86 90 955
95 43 815
78 98 111
57 89 825
10 36 220
96 6 669
7 92 441
61 52 352
95 74 163
68 19 678
90 44 348
1 93 378
27 6 448
33 20 581
27 49 576
61 41 505
11 76 984
37 75 484
43 78 49
50 78 379
52 95 626
64 91 272
2 41 619
56 63 980
100 96 744
36 17 586
44 30 470
11 98 240
47 34 282
76 91 835
84 31 621
100 38 564
93 94 714
14 29 27
53 88 684
75 35 220
58 29 936
48 11 437
52 33 388
45 13 522
56 29 689
41 50 425
16 84 96
70 6 423
80 82 552
6 32 876
65 64 34
9 85 838
50 55 471
75 6 267
53 65 346
59 22 458
99 6 618
74 86 354
50 10 54
76 52 343
5 84 796
59 67 384
74 5 127
48 13 114
38 74 739
59 44 909
78 72 177
30 86 902
62 10 438
98 36 544
20 48 831
78 37 160
69 32 658
24 23 472
21 44 810
65 27 675
62 44 247
54 49 518
54 72 948
88 39 676
8 29 346
29 67 46
96 25 692
80 38 577
78 10 947
21 4 130
73 38 954
59 93 682
38 79 386
76 5 449
37 3 102
35 42 197
100 31 726
7 82 236
2 19 657
73 62 323
49 48 61
15 18 836
62 78 208
86 15 138
17 4 422
82 44 676
81 67 602
65 36 480
91 55 407
24 49 846
98 94 379
72 69 588
44 68 941
12 59 168
85 47 124
100 32 144
25 27 224
84 28 158
52 31 741
57 45 621
86 84 829
57 47 669
18 85 12
8 85 770
96 38 913
75 66 315
67 47 661
6 18 285
53 15 311
37 33 313
17 64 573
36 77 344
91 75 966
2 28 941
29 24 525
58 14 659
55 6 131
85 3 62
75 27 382
53 75 312
37 4 12
59 38 184
82 60 665
17 12 277
13 14 738
78 87 278
60 1 676
59 76 780
26 67 80
70 13 419
12 3 103
4 58 832
27 81 846
97 23 953
64 2 775
3 30 496
40 27 742
51 23 433
78 99 751
40 6 49
67 86 68
97 28 369
38 65 216
39 70 307
18 98 21
22 83 873
2 78 518
51 34 448
44 13 873
10 31 779
92 18 234
49 53 507
38 93 913
95 76 884
93 2 403
6 92 238
99 96 988
84 43 966
11 59 829
45 20 303
87 77 44
12 92 538
20 88 12
60 56 486
55 15 520
61 35 703
78 29 583
10 100 836
3 16 774
84 72 820
50 25 286
88 52 46
18 91 808
84 66 718
33 74 334
60 65 275
91 4 717
87 80 534
48 82 154
23 46 213
55 28 46
25 31 938
33 65 23
98 42 357
64 52 203
92 54 61
21 80 420
9 73 678
12 18 98
60 98 227
79 81 375
51 38 49
53 35 10
60 80 749
19 28 850
77 83 49
13 88 66
76 97 290
78 48 621
51 47 412
94 89 201
64 93 493
90 80 728
66 80 377
9 23 214
16 82 793
41 35 777
88 42 962
77 1 493
44 6 205
9 68 260
48 76 255
77 54 986
100 43 261
74 82 615
67 48 740
1 10 351
12 78 422
15 43 238
12 10 89
20 72 799
26 50 440
79 70 827
19 35 345
80 18 26
43 67 529
96 17 722
64 74 357
79 67 853
5 70 646
92 48 939
93 63 378
4 87 523
82 98 670
10 16 168
8 48 782
19 51 407
69 52 971
84 25 193
80 97 774
89 64 990
100 57 475
88 6 963
66 3 155
62 14 529
52 84 421
3 41 219
45 3 852
96 29 952
35 83 3
93 15 230
40 23 775
88 83 718
22 65 2
80 8 485
55 83 655
77 53 239
49 99 742
22 45 703
25 11 147
76 54 884
19 98 18
94 67 592
95 75 19
76 83 200
48 75 314
42 39 219
75 39 406
3 75 484
76 87 660
54 78 764
69 80 273
61 91 718
3 54 838
1 42 649
37 62 266
28 26 540
50 62 234
92 38 295
96 61 420
6 72 493
16 83 190
76 8 823
68 99 595
64 39 896
22 55 158
38 9 249
57 17 884
8 4 456
81 20 941
74 32 778
95 6 854
99 14 864
49 22 803
94 6 956
93 58 403
5 20 324
21 92 480
53 14 804
2 12 589
3 50 708
4 96 672
29 2 256
36 82 912
53 52 675
17 11 117
7 22 995
37 88 917
30 70 371
3 2 594
25 73 99
56 20 816
50 73 976
12 6 807
60 5 896
23 19 793
46 94 274
92 86 223
88 26 435
82 18 815
70 12 519
69 21 220
51 72 801
19 39 630
68 60 967
2 53 632
73 84 524
72 79 918
66 70 191
24 45 283
76 10 617
7 68 770
25 1 453
78 13 599
48 95 103
83 58 314
49 98 806
30 60 960
28 11 464
45 72 342
1 100 984
34 10 295
59 55 179
41 12 408
8 62 862
34 4 758
6 98 757
41 89 67
4 74 536
42 9 332
47 22 81
57 65 546
50 11 718
87 92 145
79 56 420
13 35 518
8 83 388
29 4 731
32 4 10
45 49 468
87 84 584
93 72 112
51 11 777
96 79 240
18 53 547
73 83 590
79 46 736
15 27 839
94 41 410
86 46 775
68 22 517
83 17 570
89 44 710
23 21 401
98 83 458
19 10 172
36 90 2
56 70 863
47 95 987
93 70 640
22 43 795
68 28 257
17 20 266
79 23 867
17 31 350
16 52 941
91 48 43
70 49 266
78 84 843
83 82 763
73 99 747
34 26 357
33 48 662
83 65 519
13 8 748
54 74 608
34 63 34
20 52 702
5 53 186
46 98 234
74 79 45
83 20 473
94 65 941
20 53 819
21 28 114
74 63 677
27 90 840
46 3 474
75 43 384
37 59 333
60 54 393
97 74 649
33 10 526
1 80 620
13 1 143
88 84 394
63 36 324
84 2 254
49 44 938
87 22 655
25 7 73
40 17 809
59 14 642
44 42 69
62 45 152
31 75 934
23 55 972
75 11 295
85 33 222
4 24 422
1 88 457
62 25 761
76 72 618
20 58 352
22 89 775
18 57 500
52 24 980
63 5 553
5 93 397
79 63 257
83 70 56
59 69 48
59 32 789
18 5 960
54 45 677
49 64 704
22 74 475
81 73 577
38 31 559
33 67 5
36 18 801
95 54 158
74 72 429
21 70 645
5 90 827
32 5 178
78 17 556
73 18 832
34 41 187
29 94 573
20 2 548
63 33 817
91 41 451
18 97 413
37 72 20
87 89 723
87 55 274
89 5 71
75 45 191
26 52 236
21 84 406
83 60 29
66 49 754
55 100 570
16 66 867
50 40 86
52 72 982
38 15 470
12 20 529
43 49 950
20 46 447
45 79 200
76 21 723
53 80 286
94 43 553
90 28 411
56 58 667
92 79 835
41 98 325
62 34 420
14 1 231
29 79 941
11 2 479
77 24 24
45 10 100
70 64 446
9 61 800
41 26 200
38 62 688
30 89 777
46 49 394
51 75 942
34 94 401
97 91 368
54 23 57
60 59 62
47 21 558
88 4 87
100 97 966
83 93 600
33 39 931
28 100 512
3 61 50
14 63 998
25 43 956
12 98 729
49 52 329
14 41 214
19 3 109
21 17 767
48 56 93
25 60 795
94 32 184
34 23 241
70 80 269
66 28 689
66 5 820
78 79 370
98 71 578
